 run  |                     source                     | capacitor 
 6323 | yal                                            | Yes
 6332 | yal                                            | Yes
 6341 | yal                                            | Yes
 6358 | yal                                            | Yes
 6365 | yal                                            | Yes
 6372 | yal                                            | Yes
 6379 | yal                                            | Yes
 6393 | yal                                            | Yes
 6400 | yal                                            | Yes
 6407 | yal                                            | Yes
 6414 | yal                                            | Yes
 6427 | yal                                            | Yes
 6432 | yal                                            | Yes
 6442 | yal                                            | Yes
 6452 | yal                                            | Yes
 6457 | yal                                            | Yes
 6461 | yal                                            | Yes
 6464 | yal                                            | Yes
 6470 | yal                                            | Yes
 6472 | yal                                            | Yes
 1294 | YBe                                            | Yes
 1295 | YBe                                            | Yes
 1032 | YAl + strong Co57 + 2 Pb sheets                | Yes
 6020 | weak co57                                      | Yes
 6260 | background                                     | Yes
 6315 | yal + weak co57                                | Yes
 6373 | yal                                            | Yes
 6443 | yal                                            | Yes
 6074 | weak co57                                      | Yes
 6153 | kr83m                                          | Yes
 6296 | kr83m                                          | Yes
 6306 | kr83m                                          | Yes
 6175 | yal                                            | Yes
 6194 | yal                                            | Yes
 6211 | yal                                            | Yes
 6229 | background                                     | Yes
 6244 | background                                     | Yes
 6273 | background                                     | Yes
 6285 | kr83m                                          | Yes
 6324 | yal                                            | Yes
 6333 | yal                                            | Yes
 6342 | yal                                            | Yes
 6351 | yal                                            | Yes
 6359 | yal                                            | Yes
 6366 | yal                                            | Yes
 6387 | yal                                            | Yes
 6394 | yal                                            | Yes
 6401 | yal                                            | Yes
 6408 | yal                                            | Yes
 6422 | yal                                            | Yes
 6428 | yal                                            | Yes
 6433 | yal                                            | Yes
 6448 | yal                                            | Yes
 6453 | yal                                            | Yes
 6458 | yal                                            | Yes
 6462 | yal                                            | Yes
 6468 | yal                                            | Yes
 1652 | background                                     | Yes
 1040 | YBe                                            | Yes
 6075 | weak co57                                      | Yes
 6261 | strong co57 + 4 pb sheets                      | Yes
 6316 | yal                                            | Yes
 6374 | yal                                            | Yes
 6439 | yal                                            | Yes
 6021 | weak co57                                      | Yes
 6154 | kr83m                                          | Yes
 6297 | kr83m                                          | Yes
 6307 | kr83m                                          | Yes
 6176 | yal                                            | Yes
 6195 | yal                                            | Yes
 6212 | yal                                            | Yes
 6230 | background                                     | Yes
 6245 | background                                     | Yes
 6274 | background                                     | Yes
 6286 | kr83m                                          | Yes
 6325 | yal                                            | Yes
 6334 | yal                                            | Yes
 6343 | yal                                            | Yes
 6352 | yal                                            | Yes
 6360 | yal                                            | Yes
 6367 | yal                                            | Yes
 6388 | yal                                            | Yes
 6395 | yal                                            | Yes
 6402 | yal                                            | Yes
 6409 | yal                                            | Yes
 6423 | yal                                            | Yes
 6429 | yal                                            | Yes
 6434 | yal                                            | Yes
 6449 | yal                                            | Yes
 6454 | yal                                            | Yes
 6459 | yal                                            | Yes
 6463 | yal                                            | Yes
 6469 | yal                                            | Yes
 6471 | yal                                            | Yes
 1299 | YBe                                            | Yes
 1090 | YBe                                            | Yes
 6023 | weak co57                                      | Yes
 6076 | background                                     | Yes
 6262 | strong co57 + 4 pb sheets                      | Yes
 6155 | kr83m                                          | Yes
 6177 | yal                                            | Yes
 6196 | yal                                            | Yes
 6213 | yal                                            | Yes
 6246 | background                                     | Yes
